,subj,idx,session,pres,corr,corrw2v
0,soe101,1,-49,1,0.05084396891797869,0.03556759587750027
1,soe103,1,-49,1,0.06590164287501482,0.03930113096402821
2,soe104,1,-49,1,0.04196855887931085,0.02763517252597272
3,soe105,1,-49,1,0.048063810695358505,0.021164166340514518
4,soe106,1,-49,1,0.024797059913052307,0.018702310146754185
5,soe108,1,-49,1,0.024773814581194556,0.012675829302687151
6,soe109,1,-49,1,0.03592923107281621,0.01704463700951032
7,soe110,1,-49,1,0.03544116256820753,0.01897916779312756
8,soe111,1,-49,1,0.06275646115753741,0.03446648626841395
9,soe112,1,-49,1,0.01870851533863663,0.01971812419428523
10,soe113,1,-49,1,0.017691275440095668,0.013562589758229623
11,soe114,1,-49,1,0.02393495864356919,0.013574500981431802
12,soe115,1,-49,1,0.03213262523241711,0.02199379061059201
13,soe116,1,-49,1,0.03125792224836128,0.017854245662295463
14,soe117,1,-49,1,0.028379979890702914,0.015519656766469447
15,soe118,1,-49,1,0.036302501091379724,0.018146400598797293
16,soe120,1,-49,1,0.02850732536138816,0.01646758439941782
17,soe121,1,-49,1,0.04496065730560777,0.02256531907772203
18,soe122,1,-49,1,0.03246073780578174,0.021900753872288937
19,soe123,1,-49,1,0.0329935073979145,0.018917567195462764
20,soe124,1,-49,1,0.02665802374678256,0.012798026861412114
21,soe125,1,-49,1,0.04109611851696607,0.024864268252285982
22,soe126,1,-49,1,0.03374704373849178,0.02179448155287315
23,soe128,1,-49,1,0.020565999054481393,0.014003379848571014
24,soe129,1,-49,1,0.0352924597788955,0.020441026379343585
25,soe130,1,-49,1,0.05124464501680443,0.04187507475043457
26,soe131,1,-49,1,0.024481923650556674,0.010287785906021765
27,soe133,1,-49,1,0.01677450891972766,0.018365536103144578
28,soe134,1,-49,1,0.02803489216678328,0.020753369182388775
29,soe135,1,-49,1,0.03064182210415062,0.020328989718621623
30,soe136,1,-49,1,0.04644433595271111,0.026042887258599854
31,soe137,1,-49,1,0.04510275298504982,0.031832339617020984
32,soe138,1,-49,1,0.0657247636071572,0.03915176522317216
33,soe139,1,-49,1,0.018689074060058607,0.011335637203076334
34,soe140,1,-49,1,0.043382019622097964,0.0263273716898506
35,soe141,1,-49,1,0.0439816451316972,0.024837255414779557
36,soe142,1,-49,1,0.04563648946751498,0.02465706804932214
